Name,Description,Latitude,Longitude,Category
Tu sei qui,"[📍 Partenza] Coordinate di partenza: 48.618866, -2.037716",48.6188660,-2.0377160,📍 Partenza
Plage de l'Écluse,"[🏖️ Spiagge] Spiaggia-icona di Dinard: tende a strisce, casinò, belvedere. La più vivace.",48.6364681,-2.0553620,🏖️ Spiagge
Plage du Prieuré,"[🏖️ Spiagge] Famiglie, parco Port-Breton, piscina d'acqua di mare a marea bassa. Vista Saint-Malo.",48.6256661,-2.0532040,🏖️ Spiagge
Plage de Saint-Énogat,"[🏖️ Spiagge] Più intima, rock pools, atmosfera da villaggio. Quartiere originario di Dinard.",48.6391009,-2.0693179,🏖️ Spiagge
Plage de Port-Blanc,[🏖️ Spiagge] La più selvaggia delle 4 di Dinard. Confine con Saint-Lunaire.,48.6365263,-2.0816410,🏖️ Spiagge
Grande Plage de Saint-Lunaire,[🏖️ Spiagge] ~10 min da Dinard. Ampia spiaggia di sabbia.,48.6377817,-2.1099974,🏖️ Spiagge
Île de Cézembre,[🏖️ Spiagge] Solo in battello da Dinard/St-Malo (~20 min). Spiaggia a sud. Parte nord interdetta (WWII).,48.6768428,-2.0715022,🏖️ Spiagge
Fourberie — zona naturista (Saint-Lunaire),[Nudist Naturiste] Naturismo TOLLERATO nella caletta a OVEST dopo le rocce. Non ufficiale. Cani vietati.,48.6352882,-2.0850938,Nudist Naturiste
Chevrets — zona naturista (Saint-Coulomb),[Nudist Naturiste] Naturismo lato est verso Pointe du Meinga. Grande spiaggia. ~25–30 min auto da Dinard.,48.6926072,-1.9418849,Nudist Naturiste
Halles & Marché Dinard (Place Crolard),[🛒 Mercati] Halles coperte: ogni mattina 7:30–13:30. Mercato esterno mar/gio/sab: set–giu 9–12:30 (sab→13); lug–ago 8:30–14. Fino a ~300 banchi in estate.,48.6320459,-2.0580392,🛒 Mercati
Marché Saint-Énogat (Place du Calvaire),"[🛒 Mercati] Solo luglio–agosto: mercoledì 9:00–12:30, Rue de Saint-Lunaire / Place du Calvaire.",48.6360000,-2.0679661,🛒 Mercati
Marché aux Huîtres Cancale,"[🛒 Mercati] MUST ostriche. Port de la Houle, Rue des Parcs. 8 produttori, tutti i giorni (~9–17:30+). Degustazione sul posto, vista Mont-Saint-Michel.",48.6707685,-1.8513142,🛒 Mercati
Pourquoi Pas ★ (Castelbrac),"[⭐ Ristoranti] 1 stella Michelin, chef Julien Hennote. Cucina moderna locale, vista mare. Prenotare. €€€€",48.6344466,-2.0490168,⭐ Ristoranti
Didier Méril,[⭐ Ristoranti] 1 Place du Général de Gaulle. Vista baia del Prieuré. Pesce e cucina di mercato. €€€,48.6274381,-2.0555345,⭐ Ristoranti
La Passerelle du Clair de Lune,"[⭐ Ristoranti] 3 Avenue George V. Vista cale, pesce. Top Tripadvisor Dinard.",48.6318335,-2.0520607,⭐ Ristoranti
La Vallée,[⭐ Ristoranti] 6 Avenue George V. Sullo scoglio sopra la cale del Bec de la Vallée. Cucina iodata. €€,48.6362639,-2.0484626,⭐ Ristoranti
Café de la Plage (Saint-Énogat),"[⭐ Ristoranti] 66 Boulevard Albert Lacroix. Sul mare a Énogat, atmosfera rilassata.",48.6364062,-2.0678126,⭐ Ristoranti
Lou à la plage,"[⭐ Ristoranti] Esplanade Jacques Chirac / ingresso diga Écluse. Fronte mare, aperto anche bar/tapas.",48.6353790,-2.0551035,⭐ Ristoranti
Centre-ville Dinard (Place de la République),"[🏛️ Centro] Cuore commerciale: place de la République, boutique, gallerie.",48.6334184,-2.0561911,🏛️ Centro
Boulevard Féart (shopping),"[🏛️ Centro] Asse shopping storico di Dinard. Boutique, moda, artigianato.",48.6325000,-2.0550000,🏛️ Centro
Saint-Malo Intra-Muros,[🏛️ Centro] Città fortificata. 10 min in ferry da Dinard.,48.6487018,-2.0199432,🏛️ Centro
Cancale (centro),[🏛️ Centro] Capitale delle ostriche. ~30 min auto da Dinard.,48.6773205,-1.8645809,🏛️ Centro
Ferry Dinard — Compagnie Corsaire (Clair de Lune),"[⛴️ Ferry] Promenade du Clair de Lune. → Saint-Malo (~10'), Cézembre (~20'), escursioni Chausey, Cap Fréhel, Cancale, Rance/Dinan, Jersey. compagniecorsaire.com",48.6339345,-2.0500957,⛴️ Ferry
Ferry Dinard — Cale du Bec de la Vallée,[⛴️ Ferry] Cale di Dinard (alta stagione). Partenze vedettes / bus de mer.,48.6357303,-2.0475675,⛴️ Ferry
Ferry Saint-Malo — Cale de Dinan,[⛴️ Ferry] Ai piedi delle mura Intra-Muros. Arrivo/partenza bus de mer ↔ Dinard.,48.6456217,-2.0272486,⛴️ Ferry
Promenade du Clair de Lune,"[🥾 Camminate] ~2 km dal Prieuré all'anse du Bec de la Vallée. Vegetazione esotica, vista Saint-Malo. Facile, iconica.",48.6303758,-2.0527440,🥾 Camminate
Pointe du Moulinet,"[🥾 Camminate] Belvedere da l'Écluse. Vista 360° su baia, Saint-Malo, Cézembre. Ideale al tramonto.",48.6369843,-2.0494501,🥾 Camminate
GR34 partenza Écluse → Saint-Lunaire,"[🥾 Camminate] ~8 km, 1h30–2h. Costiero: Écluse → Énogat → Port-Blanc → Saint-Lunaire.",48.6364681,-2.0553620,🥾 Camminate
"⚡ Sodetrel — Place Paul Crolard, Saint-Énogat, Dinard","[⚡ Ricarica EV] Rete/operatore: Sodetrel. Connettori: type2:2, typee:2. Stalli: 2. A pagamento: yes. Orari: 24/7. Zona: Place Paul Crolard, Saint-Énogat, Dinard. ~0.2 km dal centro Dinard. Fonte: OpenStreetMap",48.6314689,-2.0582472,⚡ Ricarica EV
"⚡ Sodetrel — Rue du Bois Met, Dinard","[⚡ Ricarica EV] Rete/operatore: Sodetrel. Connettori: type2:2, typee:2. Stalli: 2. A pagamento: yes. Orari: 24/7. Zona: Rue du Bois Met, Dinard. ~1.1 km dal centro Dinard. Fonte: OpenStreetMap",48.6221361,-2.0548934,⚡ Ricarica EV
"⚡ Sodetrel — Rue Gouyon-Matignon, Saint-Alexandre, Dinard","[⚡ Ricarica EV] Rete/operatore: Sodetrel. Connettori: type2:2, typee:2. Stalli: 2. A pagamento: yes. Orari: 24/7. Zona: Rue Gouyon-Matignon, Saint-Alexandre, Dinard. ~1.2 km dal centro Dinard. Fonte: OpenStreetMap",48.6237692,-2.0661953,⚡ Ricarica EV
"⚡ SDE35 — Digue des Bas-Sablons, Saint-Servan - Solidor, Saint-Malo","[⚡ Ricarica EV] Rete/operatore: SDE35. Stalli: 10. Orari: 24/7. Zona: Digue des Bas-Sablons, Saint-Servan - Solidor, Saint-Malo. ~2.4 km dal centro Dinard. Fonte: OpenStreetMap",48.6359619,-2.0226844,⚡ Ricarica EV
⚡ Intermarché-Pleurtuit — Rue du Cap de Bonne Espérance,"[⚡ Ricarica EV] Rete/operatore: Intermarché. Connettori: type2:8, type2:output:7 kW, typee:8, typee:output:3.4 kW. Stalli: 8. A pagamento: yes. Accesso: yes. Zona: Rue du Cap de Bonne Espérance, Pleurtuit. ~2.5 km dal centro Dinard. Fonte: OpenStreetMap",48.6104698,-2.0625536,⚡ Ricarica EV
"⚡ Freshmile SAS — Rue de l'Hermitage, La Richardais","[⚡ Ricarica EV] Rete/operatore: Freshmile SAS. Connettori: type2:yes, typee:yes. A pagamento: no. Orari: 24/7. Zona: Rue de l'Hermitage, La Richardais. ~2.5 km dal centro Dinard. Fonte: OpenStreetMap",48.6094890,-2.0566440,⚡ Ricarica EV
"⚡ Électricité de France — Barrage de la Rance, La Richardais","[⚡ Ricarica EV] Rete/operatore: Électricité de France. Stalli: 8. Zona: Barrage de la Rance, La Richardais. ~2.6 km dal centro Dinard. Fonte: OpenStreetMap",48.6168878,-2.0285360,⚡ Ricarica EV
"⚡ Sodetrel — Rue Jean Langlais, La Richardais","[⚡ Ricarica EV] Rete/operatore: Sodetrel. Connettori: type2:2, typee:2. Stalli: 2. A pagamento: yes. Orari: 24/7. Zona: Rue Jean Langlais, La Richardais. ~3.1 km dal centro Dinard. Fonte: OpenStreetMap",48.6074756,-2.0361959,⚡ Ricarica EV
"⚡ SDE35 — Rue Godard, Saint-Servan, Saint-Malo","[⚡ Ricarica EV] Rete/operatore: SDE35. Stalli: 2. Orari: 24/7. Zona: Rue Godard, Saint-Servan, Saint-Malo. ~3.1 km dal centro Dinard. Fonte: OpenStreetMap",48.6367261,-2.0129935,⚡ Ricarica EV
"⚡ SDE35 — Quai Duguay-Trouin, Courtoisville - Sillon - Moka, Saint-Malo","[⚡ Ricarica EV] Rete/operatore: SDE35. Stalli: 2. A pagamento: no. Orari: 24/7. Zona: Quai Duguay-Trouin, Courtoisville - Sillon - Moka, Saint-Malo. ~3.3 km dal centro Dinard. Fonte: OpenStreetMap",48.6509331,-2.0211055,⚡ Ricarica EV
"⚡ SDE35 — Rue Victor Renaud, Saint-Lunaire","[⚡ Ricarica EV] Rete/operatore: SDE35. Stalli: 2. Orari: 24/7. Zona: Rue Victor Renaud, Saint-Lunaire. ~3.5 km dal centro Dinard. Fonte: OpenStreetMap",48.6324988,-2.1033197,⚡ Ricarica EV
"⚡ EV — Rue de la Balue, Le Rosais - La Flourie, Saint-Malo","[⚡ Ricarica EV] Stalli: 2. Zona: Rue de la Balue, Le Rosais - La Flourie, Saint-Malo. ~3.6 km dal centro Dinard. Fonte: OpenStreetMap",48.6288914,-2.0058297,⚡ Ricarica EV
"⚡ SDE35 — Avenue Anita Conti, Rocabey, Saint-Malo","[⚡ Ricarica EV] Rete/operatore: SDE35. Stalli: 2. Orari: 24/7. Zona: Avenue Anita Conti, Rocabey, Saint-Malo. ~3.9 km dal centro Dinard. Fonte: OpenStreetMap",48.6459147,-2.0066839,⚡ Ricarica EV
"⚡ Ouest Charge — Boulevard de la Tour d'Auvergne, Rocabey, Saint-Malo","[⚡ Ricarica EV] Rete/operatore: Ouest Charge. Connettori: type2:1, typee:1. Stalli: 2. A pagamento: yes. Accesso: yes. Orari: 24/7. Zona: Boulevard de la Tour d'Auvergne, Rocabey, Saint-Malo. ~4.1 km dal centro Dinard. Fonte: OpenStreetMap",48.6516296,-2.0080807,⚡ Ricarica EV
"⚡ Power Dot France — Avenue Aristide Briand, Espérance - Cottages, Saint-Malo","[⚡ Ricarica EV] Rete/operatore: Power Dot France. Connettori: type2_combo:yes, type2_combo:output:100 kW;187.5 kW. Stalli: 11. A pagamento: yes. Orari: 24/7. Zona: Avenue Aristide Briand, Espérance - Cottages, Saint-Malo. ~4.7 km dal centro Dinard. Fonte: OpenStreetMap",48.6488774,-1.9969609,⚡ Ricarica EV
"⚡ EV — D 168, La Madeleine - Bellevue, Saint-Malo","[⚡ Ricarica EV] A pagamento: yes. Accesso: yes. Zona: D 168, La Madeleine - Bellevue, Saint-Malo. ~4.7 km dal centro Dinard. Fonte: OpenStreetMap",48.6197903,-1.9936026,⚡ Ricarica EV
